i:0 f:0 | w:4.057750 |  x: 0.262614 y: 0.007224 z: 0.000000 |  0.269838
i:0 f:1 | w:4.057751 |  x: 0.007224 y: 0.262615 z: 0.000000 |  0.269839
i:0 f:2 | w:6.995757 |  x: 0.098246 y: 0.151312 z: 0.000000 |  0.249558

i:1 f:0 | w:4.057750 |  x: 0.007224 y: 0.262614 z: 0.000000 |  0.269839
i:1 f:1 | w:4.057751 |  x: 0.262614 y: 0.007224 z: 0.000000 |  0.269839
i:1 f:2 | w:6.995758 |  x: 0.000315 y: 0.094729 z: 0.000000 |  0.095045

i:2 f:0 | w:4.578420 |  x: 0.000000 y: 0.000000 z: 0.000000 |  0.000000
i:2 f:1 | w:4.578420 |  x: 0.000000 y: 0.000000 z: 0.000000 |  0.000000
i:2 f:2 | w:7.516427 |  x: 0.000000 y: 0.000000 z: 0.000000 |  0.000000

